StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q9,Q10,Q11,Q12,Q13,Q14,Q1,Q2,Q2_3_TEXT,Q3,Q4,nonSevere,severe,Q18,severity
2022-02-23 16:55:06,2022-02-23 16:58:58,0,100,232,1,2022-02-23 16:58:59,R_1IMzoe4yFnY5RIC,anonymous,EN,1,1,1,1,1,1,45,2,,1,1,10,,1976,1
2022-02-23 16:57:52,2022-02-23 16:59:07,0,100,75,1,2022-02-23 16:59:07,R_3PgCBHmUAMo5r6o,anonymous,EN,1,1,1,1,1,1,21,2,,1,1,33,,2001,1
2022-02-23 16:56:29,2022-02-23 16:59:17,0,100,167,1,2022-02-23 16:59:17,R_PXTPkB82GkqiWit,anonymous,EN,1,1,1,1,1,1,63,2,,1,1,20,,1958,1
2022-02-23 16:57:13,2022-02-23 16:59:27,0,100,133,1,2022-02-23 16:59:27,R_3sn2qK2NUxM2L5L,anonymous,EN,1,1,1,1,1,1,53,2,,1,1,,20,1968,2
2022-02-23 16:54:32,2022-02-23 16:59:37,0,100,305,1,2022-02-23 16:59:37,R_Ycug7xPYGqo07rb,anonymous,EN,1,1,1,1,1,1,29,2,,1,1,,25,1992,2
2022-02-23 16:57:51,2022-02-23 16:59:39,0,100,107,1,2022-02-23 16:59:39,R_3G9Xw1ceB34d8r7,anonymous,EN,1,1,1,1,1,1,28,2,,1,1,15,,1993,1
2022-02-23 16:58:33,2022-02-23 16:59:48,0,100,75,1,2022-02-23 16:59:48,R_QnBIIqsKCREDEzL,anonymous,EN,1,1,1,1,1,1,23,2,,1,1,50,,1998,1
2022-02-23 16:54:42,2022-02-23 16:59:48,0,100,305,1,2022-02-23 16:59:48,R_22mhJVqcQfx61JI,anonymous,EN,1,1,1,1,1,1,43,2,,2,1,,80,1979,2
2022-02-23 16:57:41,2022-02-23 16:59:52,0,100,130,1,2022-02-23 16:59:52,R_3EKj4OqRDGbME1N,anonymous,EN,1,1,1,1,1,1,43,2,,1,1,,30,1978,2
2022-02-23 16:57:48,2022-02-23 17:00:05,0,100,136,1,2022-02-23 17:00:05,R_3ptX9mR7woAMKVT,anonymous,EN,1,1,1,1,1,1,29,2,,1,1,,10,1992,2
2022-02-23 16:57:17,2022-02-23 17:00:09,0,100,171,1,2022-02-23 17:00:09,R_UT5oes97SKY4T2V,anonymous,EN,1,1,1,1,1,1,44,1,,1,1,10,,1977,1
2022-02-23 16:58:03,2022-02-23 17:00:13,0,100,129,1,2022-02-23 17:00:13,R_24c6qqcyRpwCi8n,anonymous,EN,1,1,1,1,1,1,33,1,,2,1,12,,1989,1
2022-02-23 16:59:11,2022-02-23 17:00:14,0,100,62,1,2022-02-23 17:00:14,R_2X5018pCjIWqE96,anonymous,EN,1,1,1,1,1,1,26,1,,1,1,,10,1995,2
2022-02-23 16:59:04,2022-02-23 17:00:14,0,100,70,1,2022-02-23 17:00:14,R_2q42h0uGKGY6Obe,anonymous,EN,1,1,1,1,1,1,49,2,,1,1,15,,1972,1
2022-02-23 16:58:11,2022-02-23 17:00:15,0,100,124,1,2022-02-23 17:00:15,R_3qx5IO7cZCPuDGP,anonymous,EN,1,1,1,1,1,1,25,2,,1,1,,10,1997,2
2022-02-23 16:58:29,2022-02-23 17:00:20,0,100,111,1,2022-02-23 17:00:20,R_1Cyi5ATMKFWswPb,anonymous,EN,1,1,1,1,1,1,49,2,,1,1,,50,1972,2
2022-02-23 16:58:33,2022-02-23 17:00:23,0,100,110,1,2022-02-23 17:00:24,R_2VEA9RkWty7GdCz,anonymous,EN,1,1,1,1,1,1,53,2,,1,1,,50,1969,2
2022-02-23 16:59:27,2022-02-23 17:00:36,0,100,69,1,2022-02-23 17:00:37,R_6FIso7jUmUb0gZX,anonymous,EN,1,1,1,1,1,1,23,2,,2,1,20,,1999,1
2022-02-23 16:59:40,2022-02-23 17:00:39,0,100,58,1,2022-02-23 17:00:39,R_31viaFBtPMwP33A,anonymous,EN,1,1,1,1,1,1,21,1,,1,1,20,,2000,1
2022-02-23 16:58:44,2022-02-23 17:00:41,0,100,116,1,2022-02-23 17:00:41,R_2v8Jx0LvTCiQBOb,anonymous,EN,1,1,1,1,1,1,63,1,,1,1,15,,1958,1
2022-02-23 16:58:59,2022-02-23 17:00:50,0,100,111,1,2022-02-23 17:00:50,R_33w3xw32VK3IbFn,anonymous,EN,1,1,1,1,1,1,39,2,,1,1,30,,1982,1
2022-02-23 16:58:30,2022-02-23 17:00:58,0,100,147,1,2022-02-23 17:00:58,R_3KoxDfXoh3WlgUY,anonymous,EN,1,1,1,1,1,1,45,2,,2,1,,30,1976,2
2022-02-23 16:59:45,2022-02-23 17:01:03,0,100,78,1,2022-02-23 17:01:03,R_sRm7NWxSMy4X1dv,anonymous,EN,1,1,1,1,1,1,25,4,,1,1,,50,1996,2
2022-02-23 16:53:14,2022-02-23 17:01:05,0,100,470,1,2022-02-23 17:01:05,R_2R4YvpQJIpSwrZs,anonymous,EN,1,1,1,1,1,1,49,2,,1,1,,20,1972,2
2022-02-23 16:59:31,2022-02-23 17:01:07,0,100,96,1,2022-02-23 17:01:07,R_3lEUgdqqstvPvgQ,anonymous,EN,1,1,1,1,1,1,31,2,,1,1,25,,1990,1
2022-02-23 17:00:00,2022-02-23 17:01:11,0,100,71,1,2022-02-23 17:01:11,R_1H0otbN62nt7qaq,anonymous,EN,1,1,1,1,1,1,41,1,,1,1,10,,1980,1
2022-02-23 17:00:09,2022-02-23 17:01:25,0,100,75,1,2022-02-23 17:01:25,R_30dEzSGRkVXJ7oU,anonymous,EN,1,1,1,1,1,1,30,1,,1,1,20,,1991,1
2022-02-23 17:00:04,2022-02-23 17:01:26,0,100,81,1,2022-02-23 17:01:26,R_3p5WJg5LcocXnkv,anonymous,EN,1,1,1,1,1,1,34,2,,2,1,,50,1987,2
2022-02-23 16:59:58,2022-02-23 17:01:31,0,100,93,1,2022-02-23 17:01:32,R_x2Qt40mLs1LEeFX,anonymous,EN,1,1,1,1,1,1,20,2,,1,1,15,,2001,1
2022-02-23 16:59:21,2022-02-23 17:01:32,0,100,130,1,2022-02-23 17:01:32,R_1erU3Jfz2DOIZtz,anonymous,EN,1,1,1,1,1,1,34,1,,2,1,,10,1987,2
2022-02-23 17:00:32,2022-02-23 17:01:34,0,100,62,1,2022-02-23 17:01:35,R_3GeqwessQ8yxGSp,anonymous,EN,1,1,1,1,1,1,33,2,,1,1,,30,1988,2
2022-02-23 17:00:17,2022-02-23 17:01:35,0,100,78,1,2022-02-23 17:01:35,R_1nUSFvj1t039Yp5,anonymous,EN,1,1,1,1,1,1,22,2,,1,1,,15,1999,2
2022-02-23 17:00:48,2022-02-23 17:01:56,0,100,68,1,2022-02-23 17:01:56,R_XZbsGX5sfxV8pxv,anonymous,EN,1,1,1,1,1,1,33,2,,1,1,,0,1988,2
2022-02-23 16:58:28,2022-02-23 17:02:02,0,100,213,1,2022-02-23 17:02:02,R_2BepEjhoKNbgxrl,anonymous,EN,1,1,1,1,1,1,41,2,,1,1,,50,1980,2
2022-02-23 17:00:02,2022-02-23 17:02:16,0,100,134,1,2022-02-23 17:02:17,R_1i87wSw334Su5Aq,anonymous,EN,1,1,1,1,1,1,53,2,,1,1,40,,1968,1
2022-02-23 16:58:54,2022-02-23 17:02:17,0,100,202,1,2022-02-23 17:02:18,R_1dhKtf9nuZNLN67,anonymous,EN,1,1,1,1,1,1,54,2,,1,1,,50,1968,2
2022-02-23 17:00:39,2022-02-23 17:02:23,0,100,103,1,2022-02-23 17:02:23,R_3QWfIkpAoIndFrT,anonymous,EN,1,1,1,1,1,1,59,4,,1,1,,5,1962,2
2022-02-23 17:00:14,2022-02-23 17:02:23,0,100,129,1,2022-02-23 17:02:23,R_1MVXyaM2veWUGy8,anonymous,EN,1,1,1,1,1,1,47,2,,2,1,,90,1974,2
2022-02-23 17:00:35,2022-02-23 17:02:39,0,100,124,1,2022-02-23 17:02:39,R_2Ycb4IGxoZq1dm5,anonymous,EN,1,1,1,1,1,1,52,2,,1,1,5,,1970,1
2022-02-23 17:00:47,2022-02-23 17:02:43,0,100,115,1,2022-02-23 17:02:43,R_1j6Nz7WwBSyFHAE,anonymous,EN,1,1,1,1,1,1,48,2,,2,1,,20,1973,2
2022-02-23 17:00:49,2022-02-23 17:03:01,0,100,132,1,2022-02-23 17:03:01,R_2tok73AqfKK2EzY,anonymous,EN,1,1,1,1,1,1,41,2,,1,1,60,,1980,1
2022-02-23 17:00:24,2022-02-23 17:03:03,0,100,159,1,2022-02-23 17:03:04,R_3EcoJUBEXeHfhuZ,anonymous,EN,1,1,1,1,1,1,64,1,,1,1,40,,1957,1
2022-02-23 17:00:43,2022-02-23 17:03:05,0,100,142,1,2022-02-23 17:03:05,R_1BRhgGAYNHF30xH,anonymous,EN,1,1,1,1,1,1,44,2,,1,1,,40,1977,2
2022-02-23 16:59:59,2022-02-23 17:03:10,0,100,190,1,2022-02-23 17:03:10,R_1lnUBKxtCNZM0Xo,anonymous,EN,1,1,1,1,1,1,41,2,,1,1,25,,1980,1
2022-02-23 16:58:52,2022-02-23 17:03:37,0,100,285,1,2022-02-23 17:03:37,R_sMuYUvXz8vrSVwJ,anonymous,EN,1,1,1,1,1,1,22,2,,2,1,75,,1999,1
2022-02-23 17:01:05,2022-02-23 17:03:40,0,100,155,1,2022-02-23 17:03:41,R_2zGAYPq5mgO17uy,anonymous,EN,1,1,1,1,1,1,49,1,,1,1,10,,1972,1
2022-02-23 16:59:45,2022-02-23 17:03:58,0,100,253,1,2022-02-23 17:03:58,R_1hNm47BSgd6rPNg,anonymous,EN,1,1,1,1,1,1,53,2,,1,1,,45,1968,2
2022-02-23 17:00:12,2022-02-23 17:04:12,0,100,239,1,2022-02-23 17:04:12,R_54EP3Hz34I3gne1,anonymous,EN,1,1,1,1,1,1,53,2,,1,1,,50,1968,2
2022-02-23 17:00:49,2022-02-23 17:04:23,0,100,213,1,2022-02-23 17:04:23,R_3EEbGuJq60bC4yc,anonymous,EN,1,1,1,1,1,1,36,2,,2,1,15,,1986,1
2022-02-23 17:00:30,2022-02-23 17:04:28,0,100,238,1,2022-02-23 17:04:28,R_31zumJq9Z48zYHc,anonymous,EN,1,1,1,1,1,1,35,2,,2,1,60,,1986,1
2022-02-23 16:59:50,2022-02-23 17:04:29,0,100,278,1,2022-02-23 17:04:29,R_3LgN6zb78cAxkqN,anonymous,EN,1,1,1,1,1,1,46,2,,2,1,10,,1975,1
2022-02-23 17:00:57,2022-02-23 17:05:07,0,100,249,1,2022-02-23 17:05:07,R_yZN3OGKDvuPE4ZH,anonymous,EN,1,1,1,1,1,1,33,2,,2,1,,50,1988,2
2022-02-23 17:02:55,2022-02-23 17:05:26,0,100,150,1,2022-02-23 17:05:26,R_302wSamMGg3TdDS,anonymous,EN,1,1,1,1,1,1,63,2,,1,1,60,,1958,1
2022-02-23 17:00:20,2022-02-23 17:06:44,0,100,383,1,2022-02-23 17:06:45,R_OD6Eqk0RZw2M8wN,anonymous,EN,1,1,1,1,1,1,19,2,,2,1,,25,2002,2
